,cnstrct_yr,date_lstmo,bin,groundelev,heightroof,bbl,geometry,FLD_AR_ID,FLD_ZONE,STATIC_BFE,Bin #,Job Type,Job Status Descrp,Latest Action Date,Building Type,City Owned,Other Description,ExistingNo. of Stories,Proposed No. of Stories,Existing Height,Proposed Height,Existing Dwelling Units,Proposed Dwelling Units,Existing Occupancy,Proposed Occupancy,Job Description,BBL_x,Borough,CD,CT2010,CB2010,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,LtdHeight,SplitZone,BldgClass,LandUse,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,BBL_y,CondoNo,Tract2010,PLUTOMapID,HeightDiff,LFE_est
1099,1950.0,2017-08-22,3250170,7.0,23.404,3089460852,"POLYGON ((1004144.569122802 156028.5774284989, 1004124.590488227 156011.9646008233, 1004115.816555651 156022.51576083, 1004110.156790064 156017.809733501, 1004102.478983894 156027.0429827476, 1004128.11771214 156048.3621658311, 1004144.569122802 156028.5774284989))",130,AE,11.0,3250170,A2,APPLICATION PROCESSED - ENTIRE,09/25/2015,1-2-3 FAMILY,,,2.0,2.0,30.0,30.0,1.0,1.0,RES,RES,"bib # app- 013933  raising existing plumbing equipment to accommodate elevation of existing structure. provide new gas line and vent lines, water lines. installation of new tankless gas boiler as shown on drawings filed herewith. no change in use, egress or occupancy.",3089460852,BK,315,628.0,2016.0,R4,,,,,N,A1,1.0,1785,1348,0,1348,0,0,0,0,0,0,2,1,2.0,1,1,34.0,52.5,26.0,24.0,,1.0,5.0,0.0,5957.0,18987.0,1550.0,1550.0,1950,0,0,3089460852,0,628,1,-6.596,10.404
1104,1945.0,2017-08-22,3250165,9.0,19.80798988,3089460842,"POLYGON ((1004206.442686721 156080.7804080747, 1004176.620895983 156055.0386616595, 1004158.474278735 156076.0615854875, 1004188.296397568 156101.8033319167, 1004206.442686721 156080.7804080747))",130,AE,11.0,3250165,A2,APPLICATION PROCESSED - ENTIRE,09/23/2015,1-2-3 FAMILY,,,2.0,2.0,28.0,28.0,1.0,1.0,RES,RES,"bib # app- 001607  raising existing plumbing equipment to accommodate elevation of existing structure. provide new gas line and vent lines, water lines. installation of new tankless gas boiler as shown on drawings filed herewith. no change in use, egress or occupancy.",3089460842,BK,315,628.0,2017.0,R4,,,,,N,A1,1.0,1785,1024,0,1024,0,0,0,0,0,0,2,1,1.67,1,1,34.0,52.5,26.0,24.0,,1.0,5.0,0.0,8160.0,16380.0,1550.0,1550.0,1945,0,0,3089460842,0,628,1,-8.19201012,12.10798988
1193,1970.0,2017-08-22,3188142,8.0,19.08987332,3069610004,"POLYGON ((983277.8946488942 150817.9014981567, 983258.7598446476 150815.147894746, 983253.5889232319 150851.0802375702, 983272.7237274818 150853.8338409995, 983277.8946488942 150817.9014981567))",130,AE,11.0,3188142,A1,PLAN EXAM - IN PROCESS,07/19/2017,1-2-3 FAMILY,,FO/ST/GC,2.0,3.0,24.0,29.0,1.0,1.0,J-3,R-3,bib#014709. reconstruct 3 story single family attached dwelling having all habitable floors built above the flood plain with new piling system to support existing foundation walls. wet flood proof entry enclosure all required utility connections and modification to exterior entry points.,3069610004,BK,313,330.0,2002.0,R6,,,,,N,A5,1.0,1800,1520,0,1520,0,0,0,0,0,0,2,1,2.0,1,1,20.0,90.0,20.0,38.0,,3.0,5.0,5.0,7967.0,18952.0,1550.0,1550.0,1970,0,0,3069610004,0,330,1,-4.91012668,7.08987332
1196,1970.0,2017-08-22,3188146,8.0,19.08987332,3069610008,"POLYGON ((983357.2780203101 150829.3256879057, 983338.3804203143 150826.6058770723, 983333.2094988998 150862.538547994, 983352.107098894 150865.2580307531, 983357.2780203101 150829.3256879057))",130,AE,11.0,3188146,NB,APPLICATION ASSIGNED TO PLAN EXAMINER,02/17/2016,1-2-3 FAMILY,,GC/ST/FO,0.0,3.0,0.0,27.0,,1.0,,R-3,"bib# 012249.  construct new 3 story single family attached dwelling having all habitable floors built above the flood plain with new piling system to support existing foundation walls, wet flood proof entry enclosure, all required utility connections and modification to entry points.",3069610008,BK,313,330.0,2002.0,R6,,,,,N,A5,1.0,1800,1520,0,1520,0,0,0,0,0,0,2,1,2.0,1,1,20.0,90.0,20.0,38.0,,3.0,5.0,5.0,7967.0,18952.0,1550.0,1550.0,1970,0,0,3069610008,0,330,1,19.08987332,7.08987332
1201,1960.0,2017-08-22,3187964,9.0,25.3,3069550027,"POLYGON ((982387.1808791457 150774.0219927421, 982359.5365774793 150770.0279062415, 982352.3184160602 150819.9877800778, 982379.9627177287 150823.9815384948, 982387.1808791457 150774.0219927421))",130,AE,11.0,3187964,A2,APPLICATION PROCESSED - ENTIRE,10/19/2017,1-2-3 FAMILY,,GEN. CONSTR.,2.0,2.0,35.0,35.0,2.0,2.0,J-3,J-3,bib app-019169 rehabilitation with elevation by abandonment. relocation of mechanical room location and installation of new  mechanical equipment,3069550027,BK,313,336.0,5000.0,R3-1,,,,,N,B2,1.0,4015,2808,0,2808,0,0,0,0,0,0,2,1,2.0,2,2,36.5,110.0,27.0,52.0,,1.0,2.0,2.0,8612.0,28696.0,1550.0,1550.0,1960,0,0,3069550027,0,336,1,-9.7,14.3
1363,1960.0,2017-08-22,3188862,6.0,27.9,3070100010,"POLYGON ((985369.8133653096 149639.6210463214, 985372.2999088921 149621.2434584084, 985357.4564346375 149619.2349322503, 985354.9689068075 149637.6187537506, 985349.4685897257 149678.2718876633, 985364.3120639779 149680.2804138261, 985369.8133653096 149639.6210463214))",130,AE,11.0,3188862,A1,PLAN EXAM - IN PROCESS,04/18/2016,1-2-3 FAMILY,,GEN. CONSTR.,3.0,4.0,27.0,37.0,2.0,2.0,J-3,R-3,"bib work app-001806.application filed for abandonment of existing first floor, bracing of existing foundation and one-story vertical enlargement of existing two family dwelling. this application is fee exempt based on legislation intro 389.",3070100010,BK,313,328.0,2000.0,R5,,,,,N,B1,1.0,2000,2440,0,2440,0,0,0,0,0,0,2,1,3.0,2,2,20.0,100.0,20.0,44.0,E,3.0,5.0,0.0,11115.0,21526.0,1550.0,1550.0,1960,2008,0,3070100010,0,328,1,0.9,3.9
1507,1925.0,2017-08-22,3188265,9.0,29.7,3069730019,"POLYGON ((982258.506267729 149971.5872459143, 982252.0479473178 149970.5550957363, 982252.1949286488 149969.6364624091, 982253.8163164709 149959.4891729956, 982244.0696168103 149957.9317614009, 982242.5348429828 149967.5377133272, 982242.3012476434 149968.9976841555, 982235.8206175525 149967.9622531559, 982227.8806728148 150017.6521144064, 982250.5663229848 150021.2771071463, 982258.506267729 149971.5872459143))",130,AE,11.0,3188265,NB,APPLICATION ASSIGNED TO PLAN EXAMINER,02/16/2016,1-2-3 FAMILY,,GC/ST/FO,0.0,2.0,0.0,30.0,,2.0,,R-3,"bib# 006156. herewith erecting new building, (2 family dwelling), home to be elevated above flood plain, new foundation/piling system, plumbing reconnections & modification to exterior entry points. no other change to zoning, use, occupancy or egress.",3069730019,BK,313,336.0,5010.0,R3-1,,,,,N,B2,1.0,3000,1950,0,1950,0,0,0,0,0,0,2,2,2.0,2,2,30.0,100.0,22.0,40.0,E,2.0,5.0,2.0,11016.0,25214.0,0.0,0.0,1925,0,0,3069730019,0,336,1,29.7,18.7
1700,1940.0,2017-08-22,3188594,9.0,16.67,3070000036,"POLYGON ((983270.2148742225 149603.4537958229, 983248.2651149788 149600.2914005751, 983242.2726728922 149641.8851494032, 983251.0610411483 149643.1515510792, 983249.6880123875 149652.6797472378, 983262.849403398 149654.5757408375, 983270.2148742225 149603.4537958229))",130,AE,11.0,3188594,A1,PLAN EXAM - IN PROCESS,03/06/2017,1-2-3 FAMILY,,GEN. CONSTR.,2.0,3.0,22.0,30.0,2.0,2.0,J-3,R-3,"bib app-003749. elevate basement above flood level, create new 2nd floor raise. installation of temporary construction fence.",3070000036,BK,313,336.0,1003.0,R3-1,,,,,N,B1,1.0,2200,1760,0,1760,0,0,0,0,0,0,2,1,1.0,2,2,22.0,100.0,22.0,43.0,G,3.0,5.0,1.0,8760.0,20340.0,0.0,0.0,1940,0,0,3070000036,0,336,1,-5.33,15.67
1779,1925.0,2017-08-22,3188581,9.0,31.74,3070000015,"POLYGON ((982901.5200735647 149539.3899475874, 982881.0194583988 149536.483457333, 982874.4991302332 149582.472210503, 982871.7793193863 149601.6532744977, 982892.2799345579 149604.5600928217, 982895.2989573886 149583.2671564172, 982901.5200735647 149539.3899475874))",130,AE,11.0,3188581,A2,APPLICATION PROCESSED - ENTIRE,06/15/2016,1-2-3 FAMILY,,GEN. CONSTR.,3.0,3.0,34.0,34.0,3.0,3.0,J-3,J-3,"bib work app-020314. existing dwelling to be raised above flood resistant construction elevation as per appdx g of nyc bc. existing foundation shall be demolished. new closed foundation, grade beam and helical pile foundation shall be installed as indicated on plans",3070000015,BK,313,336.0,1003.0,R3-1,,,,,N,C0,2.0,3333,2406,0,2406,0,0,0,0,0,0,2,2,2.5,3,3,33.33,100.0,21.0,48.0,G,1.0,5.0,2.0,6856.0,24052.0,1550.0,1550.0,1925,0,0,3070000015,0,336,1,-2.26,15.74
1805,1940.0,2017-08-22,3188592,9.0,16.67,3070000033,"POLYGON ((983226.6460637324 149597.1765774088, 983217.0994948922 149595.8012520748, 983219.0023782246 149582.5936013217, 983207.3327821495 149580.9121742445, 983199.4374567237 149635.7135738396, 983205.7550293949 149636.6240050874, 983204.3987329019 149646.0383563256, 983219.2973251487 149648.1846775029, 983226.6460637324 149597.1765774088))",130,AE,11.0,3188592,A1,PLAN EXAM - IN PROCESS,07/06/2017,1-2-3 FAMILY,,GEN. CONSTR.,2.0,2.0,22.0,22.0,2.0,2.0,RES,R-3,elevate existing 1-story with basement 2 family house into 2-story with abandoned basement floor above design flood elevation due to fema regulations. obtain a new c of o.,3070000033,BK,313,336.0,1003.0,R3-1,,,,,N,B1,1.0,2600,1760,0,1760,0,0,0,0,0,0,2,1,1.0,2,2,26.0,100.0,22.0,43.0,G,2.0,5.0,1.0,5982.0,19257.0,1550.0,1550.0,1940,0,0,3070000033,0,336,1,-5.33,15.67
1905,1989.0,2017-08-22,3259041,8.0,19.79,3070120039,"POLYGON ((986015.5899608878 149388.5280445715, 985957.298738898 149379.8692692408, 985955.0868010641 149394.7616279205, 986013.1332729034 149403.3839860009, 986013.3776949793 149403.4204032465, 986013.8609617339 149400.1664727361, 986015.5899608878 149388.5280445715))",130,AE,11.0,3259041,A1,PLAN EXAM - IN PROCESS,03/22/2016,1-2-3 FAMILY,,"GC,STRU",2.0,3.0,22.0,30.0,1.0,1.0,R-3,R-3,bib app # 018808- herewith filing to add an addition to the existing structure. as shown on drawings filed herewith.,3070120039,BK,313,328.0,1001.0,R5,,,,,N,A5,1.0,1652,1344,0,1344,0,0,0,0,0,0,2,1,2.0,1,1,14.0,118.75,14.0,48.0,,3.0,5.0,0.0,6022.0,18412.0,1550.0,1550.0,1989,0,0,3070120039,0,328,1,-2.21,7.79
1970,1930.0,2017-08-22,3188654,10.0,25.99,3070030025,"POLYGON ((983119.8700305687 149318.7801525814, 983095.2952765684 149315.437311486, 983088.6588068868 149364.23117716, 983094.856957228 149365.0743513369, 983094.3635198921 149368.7006564062, 983112.7401235563 149371.1999952366, 983119.8700305687 149318.7801525814))",130,AE,11.0,3188654,A2,APPLICATION PROCESSED - ENTIRE,04/27/2016,1-2-3 FAMILY,,GEN. CONSTR.,2.0,2.0,30.0,30.0,2.0,2.0,J-3,J-3,"bib work app-004691. existing dwelling to be raised above flood resistant construction elevation as per appdx g of nyc bc. existing foundation shall be demolished. new closed foundation, grade beam and helical pile foundation shall be installed as indicated on plans",3070030025,BK,313,336.0,1004.0,R3-1,,,,,N,B1,1.0,3000,2184,0,2184,0,0,0,0,0,0,2,2,1.75,2,2,30.0,100.0,22.5,51.0,G,1.0,5.0,1.0,6260.0,23288.0,1550.0,1550.0,1930,0,0,3070030025,0,336,1,-4.01,18.49
2006,1925.0,2017-08-22,3188609,9.0,33.07,3070000059,"POLYGON ((982892.8111014833 149497.2223809965, 982894.0092618179 149488.6131462486, 982900.0200765607 149489.4500868195, 982907.7900741411 149433.6299884996, 982884.551931648 149430.395414909, 982876.781934069 149486.2151851501, 982883.0867114805 149487.0931361688, 982881.8885511458 149495.7020428238, 982892.8111014833 149497.2223809965))",130,AE,11.0,3188609,A1,PLAN EXAM - IN PROCESS,03/24/2016,1-2-3 FAMILY,,"GC,STRU",2.0,2.0,33.0,34.0,1.0,1.0,RES,R-3,"bib # app- 005002  herewith filing for general construction, mechanical, structural & plumbing work to accommodate raising of existing building as shown on drawings filed herewith.",3070000059,BK,313,336.0,1003.0,R3-1,,,,,N,B2,1.0,3000,1912,0,1912,0,0,0,0,0,0,2,2,2.0,2,2,30.0,100.0,20.0,43.0,G,1.0,5.0,2.0,8214.0,18693.0,1550.0,1550.0,1925,0,0,3070000059,0,336,1,0.07,22.07
2007,1925.0,2017-08-22,3188609,9.0,33.07,3070000059,"POLYGON ((982892.8111014833 149497.2223809965, 982894.0092618179 149488.6131462486, 982900.0200765607 149489.4500868195, 982907.7900741411 149433.6299884996, 982884.551931648 149430.395414909, 982876.781934069 149486.2151851501, 982883.0867114805 149487.0931361688, 982881.8885511458 149495.7020428238, 982892.8111014833 149497.2223809965))",130,AE,11.0,3188609,A3,PLAN EXAM - IN PROCESS,06/15/2016,1-2-3 FAMILY,,,2.0,2.0,34.0,34.0,2.0,2.0,RES,RES,bib # app- 005002  proposed plywood construction fence filed in conjunction with 321185052.,3070000059,BK,313,336.0,1003.0,R3-1,,,,,N,B2,1.0,3000,1912,0,1912,0,0,0,0,0,0,2,2,2.0,2,2,30.0,100.0,20.0,43.0,G,1.0,5.0,2.0,8214.0,18693.0,1550.0,1550.0,1925,0,0,3070000059,0,336,1,-0.93,22.07
2038,1993.0,2017-08-22,3344118,9.0,21.33,3070040074,"POLYGON ((983515.483084487 149170.0005945027, 983468.4428242302 149162.9307267452, 983466.2653351448 149177.4198709895, 983491.3679752375 149181.1928293339, 983513.3052673063 149184.4897387423, 983514.5254092175 149176.3726289962, 983515.483084487 149170.0005945027))",130,AE,11.0,3344118,A2,APPLICATION PROCESSED - ENTIRE,11/06/2017,1-2-3 FAMILY,,,3.0,3.0,34.0,34.0,1.0,1.0,R-3,R-3,"nyc bib app: 017855 installtion of new sprinkler and rpz system as per plans. no change in egress, use or occupancy.",3070040074,BK,313,328.0,4001.0,R5,,,,,N,A5,1.0,2733,1344,0,1344,0,0,0,0,0,0,2,1,2.0,1,1,23.0,118.81,14.0,48.0,,2.0,5.0,0.0,6025.0,16663.0,0.0,0.0,1993,0,0,3070040074,0,328,1,-12.67,10.33
